survey,item,variable,value,reverse,to_na
wvs.combo,just_1r,F118,1,TRUE,c(-5:-1)
wvs.combo,just_10,F118,10,FALSE,c(-5:-1)
wvs.combo,neigh2,A124_09,0,FALSE,c(-5:-4)
evs.combo,just_1r,f118,1,TRUE,
evs.combo,just_10,f118,10,FALSE,
evs.combo,neigh2,a124_09,0,FALSE,
evs.combo,adopt5_1r,d026_01,5,TRUE,
evs.combo,adopt5_5,d026_01,1,FALSE,
pew2002,accept2,q40,1,FALSE,c(3:4)
pew2007,accept2,q50,1,FALSE,c(8:9)
pew2011,accept2,q18,1,FALSE,c(8:9)
pew2013,accept2,q27,1,FALSE,c(8:9)
ess.combo,free5_1r,freehms,5,TRUE,
ess.combo,free5_5,freehms,1,FALSE,
ess6,free5_1r,freehms,5,TRUE,c(7:9)
ess6,free5_5,freehms,1,FALSE,c(7:9)
ess7,free5_1r,freehms,5,TRUE,c(7:9)
ess7,free5_5,freehms,1,FALSE,c(7:9)
amb,run10_1r,d5,1,TRUE,
amb,run10_10,d5,10,FALSE,
amb,marry10_1r,d6,1,TRUE,
amb,marry10_10,d6,10,FALSE,
lb1998,neigh2,np63a,0,FALSE,
lb2002,just_1r,p52wvsc,1,TRUE,
lb2002,just_10,p52wvsc,10,FALSE,
lb2004,just_1r,p38sta,1,TRUE,
lb2004,just_10,p38sta,10,FALSE,
lb2008,just_1r,p64wvsst,1,TRUE,"c(0, 98)"
lb2008,just_10,p64wvsst,10,FALSE,"c(0, 98)"
lb2009,just_1r,p63wvsst,1,TRUE,"c(0, 98)"
lb2009,just_10,p63wvsst,10,FALSE,"c(0, 98)"
lb2009,neigh2,p64st_a,0,FALSE,
eb21,accept5_1r,v128,1,TRUE,"c(0, 9)"
eb21,accept5_5,v128,5,FALSE,"c(0, 9)"
eb39,marry2,v637,1,FALSE,
eb39,civil2,v638,1,FALSE,
eb39,adopt2,v639,1,FALSE,
eb661,marry4_1r,v324,4,TRUE,5
eb661,marry4_4,v324,1,FALSE,5
eb661,adopt4_1r,v325,4,TRUE,5
eb661,adopt4_4,v325,1,FALSE,5
eb691,neigh10_1r,v106,1,TRUE,11
eb691,neigh10_10,v106,10,FALSE,11
eb691,hioff10_1r,v129,1,TRUE,11
eb691,hioff10_10,v129,10,FALSE,11
eb712,hioff10_1r,v293,1,TRUE,11
eb712,hioff10_10,v293,10,FALSE,11
eb774,hioff10_1r,qc5_2,1,TRUE,11
eb774,hioff10_10,qc5_2,10,FALSE,11
eb834,hioff10_1r,qc4_2,1,TRUE,11:12
eb834,hioff10_10,qc4_2,10,FALSE,11:12
eb834,approve4_1r,qc16_2,4,TRUE,5
eb834,approve4_4,qc16_2,1,FALSE,5
eb834,marry4_1r,qc16_3,4,TRUE,5
eb834,marry4_4,qc16_3,1,FALSE,5
issp1988,marry5_1r,v36,5,TRUE,
issp1988,marry5_5,v36,1,FALSE,
issp1991,approve4_1r,v11,1,TRUE,5
issp1991,approve4_4,v11,4,FALSE,5
issp1994,approve4_1r,v48,1,TRUE,5
issp1994,approve4_4,v48,4,FALSE,5
