survey,load_cmd,cy_data,wt,source,year,notes
EuroBarometer,,,,,,
ae01,"ae01 <- read_dta(""gesis_files/ZA0078/ZA0078_v1-0-1.dta"")","data_frame(v3 = 1:5,c_dcpo = c(""DEUTSCHLAND"", ""FRANCE"", ""NEDERLAND"", ""BELGIQUE"", ""LUXEMBOURG""), y_dcpo=1962)",,GESIS: ZA0078,1962,there is no weight variable in this survey
eb02,"eb02 <- read_dta(""gesis_files/ZA0986/ZA0986_v1-0-1.dta"")","data_frame(v5 = 1:9,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IRELAND"", ""GREAT BRITAIN""), y_dcpo=1974)","wt02 <- eb02$v3; wt[grep(""FR"", eb02$isocntry)] <- eb02$v4[grep(""FR"", eb02$isocntry)]",GESIS: ZA0986,1974,"there is a sepcific weight, v4, for rural France"
eb03,"eb03 <- read_dta(""gesis_files/ZA0987/ZA0987_v1-0-1.dta"")","data_frame(v4 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1975)",wt03 <-eb03$v3,GESIS: ZA0987,1975,there is only one weight for the whole Europe
eb04,"eb04 <- read_dta(""gesis_files/ZA0988/ZA0988_v1-0-1.dta"")","data_frame(v4 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1975)",wt04 <-eb04$v3,GESIS: ZA0988,1975,there is only one weight for the whole Europe
eb05,"eb05 <- read_dta( ""gesis_files/ZA0989/ZA0989_v1-0-1.dta"")","data_frame(v4 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1976)",wt05 <-eb05$v3,GESIS: ZA0989,1976,there is only one weight for the whole Europe
eb06,"eb06 <- read_dta( ""gesis_files/ZA0990/ZA0990_v1-0-1.dta"")","data_frame(v4 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1976)",wt06 <-eb06$v3,GESIS: ZA0990,1976,there is only one weight for the whole Europe
eb07,"eb07<- read_dta( ""gesis_files/ZA0991/ZA0991_v1-0-1.dta"")","data_frame(v7 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1977)","wt07 <- eb07$v5; wt[grep(""FR"", eb07$isocntry)] <- eb07$v6[grep(""FR"", eb07$isocntry)]",GESIS: ZA0991,1977,"there is a sepcific weight, v6, for rural France"
eb08,"eb08<- read_dta( ""gesis_files/ZA0992/ZA0992_v1-0-1.dta"")","data_frame(v8 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1977)","wt08 <- eb08$v5; wt[grep(""FR"", eb08$isocntry)] <- eb08$v6[grep(""FR"", eb08$isocntry)]; wt[grep(""GB\\-"", eb08$isocntry)] <- eb08$v7[grep(""GB\\-"", eb08$isocntry)]",GESIS: ZA0992,1977,the first year with UK weight
eb09,"eb09<- read_dta( ""gesis_files/ZA0993/ZA0993_v1-0-1.dta"")","data_frame(v8 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1978)","wt09 <- eb09$v5; wt[grep(""FR"", eb09$isocntry)] <- eb09$v6[grep(""FR"", eb09$isocntry)]; wt[grep(""GB\\-"", eb09$isocntry)] <- eb09$v7[grep(""GB\\-"", eb09$isocntry)]",GESIS: ZA0993,1978,
eb10,"eb10 <- read_dta( ""gesis_files/ZA0994/ZA0994_v1-0-1.dta"")","data_frame(v8 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1978)","wt10 <- eb10$v5; wt[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", eb10$isocntry)] <- eb10$v6[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", eb10$isocntry)]; wt[grep(""GB\\-"", eb10$isocntry)] <- eb10$v7[grep(""GB\\-"", eb10$isocntry)]",GESIS: ZA0994,1978,"including a specific ""National Weight"", v6, for the Fench, Dutch, British and Danish samples; not UK Weight"
eb10A,"eb10A <- read_dta( ""gesis_files/ZA0995/ZA0995_v1-0-1.dta"")","data_frame(v8 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1978)","wt10A <- eb10A$v5; wt[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", eb10A$isocntry)] <- eb10A$v6[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", eb10A$isocntry)]; wt[grep(""GB\\-"", eb10A$isocntry)] <- eb10A$v7[grep(""GB\\-"", eb10A$isocntry)]",GESIS: ZA0995,1978,
eb11,"eb11 <- read_dta( ""gesis_files/ZA1036/ZA1036_v1-0-1.dta"")","data_frame(v8 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1979)","wt11 <- eb11$v5; wt[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", eb11$isocntry)] <- eb11$v6[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", eb11$isocntry)]; wt[grep(""GB\\-"", eb11$isocntry)] <- eb11$v7[grep(""GB\\-"", eb11$isocntry)]",GESIS: ZA1036,1979,
eb12,"eb12<- read_dta( ""gesis_files/ZA1037/ZA1037_v1-0-1.dta"")","data_frame(v8 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1979)","wt12 <- eb12$v5; wt[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", eb12$isocntry)] <- eb12$v6[grep(""FR"", ""NL"", ""DK"", ""GB-GBN"", eb12$isocntry)]; wt[grep(""GB\\-"", eb12$isocntry)] <- eb12$v7[grep(""GB\\-"", eb12$isocntry)]",GESIS: ZA1037,1979,
eb13,"eb13<- read_dta( ""gesis_files/ZA1038/ZA1038_v1-0-1.dta"")","data_frame(v5 = 1:10,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND""), y_dcpo=1980)",wt13Old <- eb13$v6; wt13New <-eb13$v7,GESIS: ZA1038,1980,including a new NATION WEIGHT (Not the UK weight) to generate frequencies comparable to those in earlier barometers
eb14,"eb14<- read_dta( ""gesis_files/ZA1039/ZA1039_v1-0-1.dta"")","data_frame(v5 = 1:11,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE""), y_dcpo=1980)",wt14Old <- eb14$v6; wt14New <-eb14$v7,GESIS: ZA1039,1980,
eb15,"eb15<- read_dta( ""gesis_files/ZA1206/ZA1206_v1-1-0.dta"")","data_frame(v5 = 1:11,c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE""), y_dcpo=1981)","wt15 <- eb15$v6; wt[grep(""FR"", ""NL"", ""DK"", eb15$isocntry)] <- eb15$v7[grep(""FR"", ""NL"", ""DK"", eb15$isocntry)]",GESIS: ZA1206,1981,
