survey,item,variable,values,to_na
wvs.combo,just10,F118,c(1:10),c(-5:-1)
wvs.combo,neigh2,A124_09,"c(1, 0)",c(-5:-4)
evs.combo,just10,f118,c(1:10),
evs.combo,neigh2,a124_09,"c(1, 0)",
evs.combo,adopt5,d026_01,c(5:1),
pew2002,accept2,q40,"c(2, 1)",c(3:4)
pew2007,accept2,q50,"c(2, 1)",c(8:9)
pew2011,accept2,q18,"c(2, 1)",c(8:9)
pew2013,accept2,q27,"c(2, 1)",c(8:9)
ess.combo,free5,freehms,c(5:1),
ess6,free5,freehms,c(5:1),c(7:9)
ess7,free5,freehms,c(5:1),c(7:9)
amb,run10,d5,c(1:10),
amb,marry10,d6,c(1:10),
amb,neigh2,dis35a,"c(1, 0)",
lb1998,neigh2,np63a,"c(1, 0)",
lb2002,just10,p52wvsc,c(1:10),"c(-4, -2)"
lb2004,just10,p38sta,c(1:10),"c(-4, -2)"
lb2008,just10,p64wvsst,c(1:10),"c(-2, -1)"
lb2009,just10,p63wvsst,c(1:10),"c(-2, -1)"
lb2009,neigh2,p64st_a,"c(1, 0)",
eb21,accept5,v128,c(1:5),"c(0, 9)"
eb39,marry2,v637,"c(2, 1)",
eb39,civil2,v638,"c(2, 1)",
eb39,adopt2,v639,"c(2, 1)",
eb661,marry4,v324,c(4:1),5
eb661,adopt4,v325,c(4:1),5
eb691,neigh10,v106,c(1:10),11
eb691,hioff10,v129,c(1:10),11
eb712,hioff10,v293,c(1:10),11
eb774,hioff10,qc5_2,c(1:10),11
eb834,hioff10,qc4_2,c(1:10),11:12
eb834,approve4,qc16_2,c(4:1),5
eb834,marry4,qc16_3,c(4:1),5
issp1988,marry5,v36,c(5:1),
issp1991,approve4,v11,c(1:4),5
issp1994,approve4,v48,c(1:4),5
issp1998,approve4,v9,c(1:4),5
issp2008,approve4,V9,c(1:4),5
issp2012,ff5,V19,c(5:1),
issp2012,mm5,V20,c(5:1),
pgss,approve4,q106,c(1:4),8
usgss,marry5,MARHOMO,c(5:1),"c(0, 8, 9)"
usgss,approve4,HOMOSEX,c(1:4),"c(0, 5, 8, 9)"
allbus,approve4,v625,c(1:4),"c(0, 8, 9)"
jgss,approve4,Q4HOMSEA,c(1:4),9
asiab2004,just10,Q45B,c(1:10),99
asiab2005,just10,q45b,c(1:10),
asiab2006,just10,q50b,c(1:10),
asiab2007,just10,q50b,c(1:10),
bsa.combo,approve5,homosex,c(1:5),"c(6, 8, 9)"
bsa.combo,marry5,marview0,c(5:1),"c(8, 9)"
bsa1993,approve5,homosex,c(1:5),"c(8, 9)"
bsa1996,approve5,gaysex,c(1:5),"c(8, 9)"
bsa1997,approve5,GAYSEX,c(1:5),"c(-1, 9)"
bsa1998,approve5,HOMOSEX,c(1:5),"c(-2, 6, 8, 9)"
bsa1999,approve5,HOMOSEX,c(1:5),"c(-2, 6, 8, 9)"
bsa2000,approve5,HOMOSEX,c(1:5),"c(6, 8, 9)"
bsa2003,approve5,HOMOSEX,c(1:5),"c(-2, 6, 8, 9)"
bsa2005,approve5,HomoSex,c(1:5),"c(-2, 6, 8, 9)"
bsa2006,approve5,HomoSex,c(1:5),"c(-2, 6, 8, 9)"
bsa2007,approve5,HomoSex,c(1:5),"c(-2, 6, 8, 9)"
bsa2007,marry5,GMLMarry,c(5:1),"c(-2, -1, 8, 9)"
bsa2010,approve5,HomoSex,c(1:5),"c(-2, 6, 8, 9)"
bsa2012,approve5,HomoSex,c(1:5),"c(-2, 6, 8, 9)"
bsa2012,adopt2,GayAdopt,"c(2, 1)","c(-2, 6, 7, 8, 9)"
bsa2012,marry5,gmlmarry,c(5:1),"c(-2,-1, 8, 9)"
bsa2013,approve5,HomoSex,c(1:5),"c(-2, 6, 8, 9)"
bsa2014,marry5,gmlmarry,c(5:1),"c(-1, 8, 9)"
bges1997,approve5,GAYSEX,c(1:5),"c(-1, 8, 9)"
cdcee,accept4,v233,c(4:1),
pewrel2009_afr,approve3,Q85I,"c(2, 3, 1)","c(8, 9)"
pewrel2014_latam,approve3,Q69h,"c(2, 3, 1)","c(98, 99)"
pewrel2014_latam,marry4a,Q15,c(4:1),"c(98, 99)"
uspew2004.typo,marry4a,Q36B,c(4:1),9
uspew2005_news,marry4a,q50,c(4:1),9
uspew2009_rel,marry4a,q146a,c(4:1),9
uspew2011.typo,marry4a,qa61,c(4:1),9
uspew2013.pol,marry4a,q61,c(4:1),9
uspew2014.typo,marry4a,qb108,c(4:1),9
uspew2015_5pol,marry4a,q40,c(4:1),9
uspew2015_7pol,marry4a,q50,c(4:1),9
uspew1999.typo,accept2,Q38U,"c(2, 1)","c(5, 9)"
uspew2000.typo,accept2,Q42U,"c(2, 1)","c(5, 9)"
uspew2003.06nii,accept2,Q6H,"c(2, 1)","c(5, 9)"
uspew2004.typo,accept2,Q20U,"c(2, 1)","c(5, 9)"
uspew2011.typo,accept2,q37u,"c(2, 1)","c(5, 9)"
uspew2012.comm,accept2,q17b,"c(2, 1)","c(3, 9)"
uspew2013.pol,accept2,q15c,"c(2, 1)","c(3, 9)"
uspew2014.typo,accept2,q50u,"c(2, 1)","c(5, 9)"
uspew2015_5pol,accept2,q24a,"c(2, 1)","c(5, 9)"
uspew2015_gov,accept2,q42m,"c(2, 1)","c(5, 9)"
gallup_canada2000,marry2,q9a,"c(2, 1)","c(3, 4)"
gallup_canada2000,adopt2,q9c,"c(2, 1)","c(3, 4)"
gallup_canada1996,marry2,q12,"c(2, 1)","c(3, 4)"
gallup_canada1996,adopt2,q14,"c(2, 1)","c(3, 4)"
