country,year,variable,cutpoint,y_r,n,cc_rank,firstyr,lastyr,variable_cp,ccode,tcode,qcode,rcode
United Kingdom,1981.0,just10,1,582,1108,227,1981.0,2015.0,just10_gt1,1.0,1,1.0,1.0
United Kingdom,1981.0,just10,2,537,1108,227,1981.0,2015.0,just10_gt2,1.0,1,1.0,2.0
United Kingdom,1981.0,just10,3,463,1108,227,1981.0,2015.0,just10_gt3,1.0,1,1.0,3.0
United Kingdom,1981.0,just10,4,398,1108,227,1981.0,2015.0,just10_gt4,1.0,1,1.0,4.0
United Kingdom,1981.0,just10,5,228,1108,227,1981.0,2015.0,just10_gt5,1.0,1,1.0,5.0
United Kingdom,1981.0,just10,6,182,1108,227,1981.0,2015.0,just10_gt6,1.0,1,1.0,6.0
United Kingdom,1981.0,just10,7,137,1108,227,1981.0,2015.0,just10_gt7,1.0,1,1.0,7.0
United Kingdom,1981.0,just10,8,80,1108,227,1981.0,2015.0,just10_gt8,1.0,1,1.0,8.0
United Kingdom,1981.0,just10,9,62,1108,227,1981.0,2015.0,just10_gt9,1.0,1,1.0,9.0
United Kingdom,1983.0,approve5,1,727,1598,227,1981.0,2015.0,approve5_gt1,1.0,3,2.0,10.0
United Kingdom,1983.0,approve5,2,514,1598,227,1981.0,2015.0,approve5_gt2,1.0,3,2.0,11.0
United Kingdom,1983.0,approve5,3,370,1598,227,1981.0,2015.0,approve5_gt3,1.0,3,2.0,12.0
United Kingdom,1983.0,approve5,4,305,1598,227,1981.0,2015.0,approve5_gt4,1.0,3,2.0,13.0
United Kingdom,1984.0,approve5,1,642,1536,227,1981.0,2015.0,approve5_gt1,1.0,4,2.0,10.0
United Kingdom,1984.0,approve5,2,422,1536,227,1981.0,2015.0,approve5_gt2,1.0,4,2.0,11.0
United Kingdom,1984.0,approve5,3,302,1536,227,1981.0,2015.0,approve5_gt3,1.0,4,2.0,12.0
United Kingdom,1984.0,approve5,4,261,1536,227,1981.0,2015.0,approve5_gt4,1.0,4,2.0,13.0
United Kingdom,1984.0,accept5,1,867,986,227,1981.0,2015.0,accept5_gt1,1.0,4,3.0,14.0
United Kingdom,1984.0,accept5,2,752,986,227,1981.0,2015.0,accept5_gt2,1.0,4,3.0,15.0
United Kingdom,1984.0,accept5,3,621,986,227,1981.0,2015.0,accept5_gt3,1.0,4,3.0,16.0
United Kingdom,1984.0,accept5,4,391,986,227,1981.0,2015.0,accept5_gt4,1.0,4,3.0,17.0
United Kingdom,1985.0,approve5,1,595,1662,227,1981.0,2015.0,approve5_gt1,1.0,5,2.0,10.0
United Kingdom,1985.0,approve5,2,419,1662,227,1981.0,2015.0,approve5_gt2,1.0,5,2.0,11.0
United Kingdom,1985.0,approve5,3,292,1662,227,1981.0,2015.0,approve5_gt3,1.0,5,2.0,12.0
United Kingdom,1985.0,approve5,4,225,1662,227,1981.0,2015.0,approve5_gt4,1.0,5,2.0,13.0
United Kingdom,1987.0,approve5,1,453,1370,227,1981.0,2015.0,approve5_gt1,1.0,7,2.0,10.0
United Kingdom,1987.0,approve5,2,298,1370,227,1981.0,2015.0,approve5_gt2,1.0,7,2.0,11.0
United Kingdom,1987.0,approve5,3,186,1370,227,1981.0,2015.0,approve5_gt3,1.0,7,2.0,12.0
United Kingdom,1987.0,approve5,4,155,1370,227,1981.0,2015.0,approve5_gt4,1.0,7,2.0,13.0
United Kingdom,1988.0,marry5,1,737,1228,227,1981.0,2015.0,marry5_gt1,1.0,8,4.0,18.0
United Kingdom,1988.0,marry5,2,368,1228,227,1981.0,2015.0,marry5_gt2,1.0,8,4.0,19.0
United Kingdom,1988.0,marry5,3,172,1228,227,1981.0,2015.0,marry5_gt3,1.0,8,4.0,20.0
United Kingdom,1988.0,marry5,4,33,1228,227,1981.0,2015.0,marry5_gt4,1.0,8,4.0,21.0
United Kingdom,1989.0,approve5,1,598,1437,227,1981.0,2015.0,approve5_gt1,1.0,9,2.0,10.0
United Kingdom,1989.0,approve5,2,406,1437,227,1981.0,2015.0,approve5_gt2,1.0,9,2.0,11.0
United Kingdom,1989.0,approve5,3,265,1437,227,1981.0,2015.0,approve5_gt3,1.0,9,2.0,12.0
United Kingdom,1989.0,approve5,4,207,1437,227,1981.0,2015.0,approve5_gt4,1.0,9,2.0,13.0
United Kingdom,1989.0,marry5,1,737,1228,227,1981.0,2015.0,marry5_gt1,1.0,9,4.0,18.0
United Kingdom,1989.0,marry5,2,368,1228,227,1981.0,2015.0,marry5_gt2,1.0,9,4.0,19.0
United Kingdom,1989.0,marry5,3,172,1228,227,1981.0,2015.0,marry5_gt3,1.0,9,4.0,20.0
United Kingdom,1989.0,marry5,4,33,1228,227,1981.0,2015.0,marry5_gt4,1.0,9,4.0,21.0
United Kingdom,1990.0,just10,1,855,1433,227,1981.0,2015.0,just10_gt1,1.0,10,1.0,1.0
United Kingdom,1990.0,just10,2,769,1433,227,1981.0,2015.0,just10_gt2,1.0,10,1.0,2.0
United Kingdom,1990.0,just10,3,644,1433,227,1981.0,2015.0,just10_gt3,1.0,10,1.0,3.0
United Kingdom,1990.0,just10,4,553,1433,227,1981.0,2015.0,just10_gt4,1.0,10,1.0,4.0
United Kingdom,1990.0,just10,5,275,1433,227,1981.0,2015.0,just10_gt5,1.0,10,1.0,5.0
United Kingdom,1990.0,just10,6,209,1433,227,1981.0,2015.0,just10_gt6,1.0,10,1.0,6.0
United Kingdom,1990.0,just10,7,161,1433,227,1981.0,2015.0,just10_gt7,1.0,10,1.0,7.0
United Kingdom,1990.0,just10,8,97,1433,227,1981.0,2015.0,just10_gt8,1.0,10,1.0,8.0
United Kingdom,1990.0,just10,9,68,1433,227,1981.0,2015.0,just10_gt9,1.0,10,1.0,9.0
United Kingdom,1990.0,approve5,1,530,1332,227,1981.0,2015.0,approve5_gt1,1.0,10,2.0,10.0
United Kingdom,1990.0,approve5,2,377,1332,227,1981.0,2015.0,approve5_gt2,1.0,10,2.0,11.0
United Kingdom,1990.0,approve5,3,263,1332,227,1981.0,2015.0,approve5_gt3,1.0,10,2.0,12.0
United Kingdom,1990.0,approve5,4,204,1332,227,1981.0,2015.0,approve5_gt4,1.0,10,2.0,13.0
United Kingdom,1990.0,neigh2,1,1022,1484,227,1981.0,2015.0,neigh2_gt1,1.0,10,5.0,22.0
United Kingdom,1991.0,approve4,1,452,1104,227,1981.0,2015.0,approve4_gt1,1.0,11,6.0,23.0
United Kingdom,1991.0,approve4,2,362,1104,227,1981.0,2015.0,approve4_gt2,1.0,11,6.0,24.0
United Kingdom,1991.0,approve4,3,235,1104,227,1981.0,2015.0,approve4_gt3,1.0,11,6.0,25.0
United Kingdom,1993.0,marry2,1,418,1215,227,1981.0,2015.0,marry2_gt1,1.0,13,7.0,26.0
United Kingdom,1993.0,civil2,1,526,1207,227,1981.0,2015.0,civil2_gt1,1.0,13,8.0,27.0
United Kingdom,1993.0,adopt2,1,183,1253,227,1981.0,2015.0,adopt2_gt1,1.0,13,9.0,28.0
United Kingdom,1994.0,approve4,1,357,833,227,1981.0,2015.0,approve4_gt1,1.0,14,6.0,23.0
United Kingdom,1994.0,approve4,2,303,833,227,1981.0,2015.0,approve4_gt2,1.0,14,6.0,24.0
United Kingdom,1994.0,approve4,3,218,833,227,1981.0,2015.0,approve4_gt3,1.0,14,6.0,25.0
United Kingdom,1996.0,approve5,1,3388,4492,227,1981.0,2015.0,approve5_gt1,1.0,16,2.0,10.0
United Kingdom,1996.0,approve5,2,2790,4492,227,1981.0,2015.0,approve5_gt2,1.0,16,2.0,11.0
United Kingdom,1996.0,approve5,3,1648,4492,227,1981.0,2015.0,approve5_gt3,1.0,16,2.0,12.0
United Kingdom,1996.0,approve5,4,736,4492,227,1981.0,2015.0,approve5_gt4,1.0,16,2.0,13.0
United Kingdom,1997.0,approve5,1,3599,4108,227,1981.0,2015.0,approve5_gt1,1.0,17,2.0,10.0
United Kingdom,1997.0,approve5,2,3091,4108,227,1981.0,2015.0,approve5_gt2,1.0,17,2.0,11.0
United Kingdom,1997.0,approve5,3,1619,4108,227,1981.0,2015.0,approve5_gt3,1.0,17,2.0,12.0
United Kingdom,1997.0,approve5,4,515,4108,227,1981.0,2015.0,approve5_gt4,1.0,17,2.0,13.0
United Kingdom,1998.0,just10,1,839,1046,227,1981.0,2015.0,just10_gt1,1.0,18,1.0,1.0
United Kingdom,1998.0,just10,2,777,1046,227,1981.0,2015.0,just10_gt2,1.0,18,1.0,2.0
United Kingdom,1998.0,just10,3,701,1046,227,1981.0,2015.0,just10_gt3,1.0,18,1.0,3.0
United Kingdom,1998.0,just10,4,646,1046,227,1981.0,2015.0,just10_gt4,1.0,18,1.0,4.0
United Kingdom,1998.0,just10,5,426,1046,227,1981.0,2015.0,just10_gt5,1.0,18,1.0,5.0
United Kingdom,1998.0,just10,6,352,1046,227,1981.0,2015.0,just10_gt6,1.0,18,1.0,6.0
United Kingdom,1998.0,just10,7,295,1046,227,1981.0,2015.0,just10_gt7,1.0,18,1.0,7.0
United Kingdom,1998.0,just10,8,229,1046,227,1981.0,2015.0,just10_gt8,1.0,18,1.0,8.0
United Kingdom,1998.0,just10,9,172,1046,227,1981.0,2015.0,just10_gt9,1.0,18,1.0,9.0
United Kingdom,1998.0,approve5,1,578,993,227,1981.0,2015.0,approve5_gt1,1.0,18,2.0,10.0
United Kingdom,1998.0,approve5,2,454,993,227,1981.0,2015.0,approve5_gt2,1.0,18,2.0,11.0
United Kingdom,1998.0,approve5,3,336,993,227,1981.0,2015.0,approve5_gt3,1.0,18,2.0,12.0
United Kingdom,1998.0,approve5,4,251,993,227,1981.0,2015.0,approve5_gt4,1.0,18,2.0,13.0
United Kingdom,1998.0,neigh2,1,856,1093,227,1981.0,2015.0,neigh2_gt1,1.0,18,5.0,22.0
United Kingdom,1998.0,approve4,1,388,694,227,1981.0,2015.0,approve4_gt1,1.0,18,6.0,23.0
United Kingdom,1998.0,approve4,2,332,694,227,1981.0,2015.0,approve4_gt2,1.0,18,6.0,24.0
United Kingdom,1998.0,approve4,3,241,694,227,1981.0,2015.0,approve4_gt3,1.0,18,6.0,25.0
