country,year,variable,cutpoint,y_r,n,cc_rank,firstyr,lastyr,variable_cp,ccode,tcode,qcode,rcode,ktcode,tq,year_obs
United States,1972.0,l_defect2,1,1199,1526,339,1972.0,2014.0,l_defect2_gt1,1.0,1,1.0,1.0,1.0,238,34
United States,1972.0,l_nomore2,1,607,1528,339,1972.0,2014.0,l_nomore2_gt1,1.0,1,2.0,2.0,1.0,238,34
United States,1972.0,l_health2,1,1338,1539,339,1972.0,2014.0,l_health2_gt1,1.0,1,3.0,3.0,1.0,238,34
United States,1972.0,l_poor2,1,735,1507,339,1972.0,2014.0,l_poor2_gt1,1.0,1,4.0,4.0,1.0,238,34
United States,1972.0,l_rape2,1,1196,1512,339,1972.0,2014.0,l_rape2_gt1,1.0,1,5.0,5.0,1.0,238,34
United States,1972.0,l_single2,1,654,1502,339,1972.0,2014.0,l_single2_gt1,1.0,1,6.0,6.0,1.0,238,34
United States,1972.0,l_ncca4,1,2325,2619,339,1972.0,2014.0,l_ncca4_gt1,1.0,1,7.0,7.0,1.0,238,34
United States,1972.0,l_ncca4,2,1096,2619,339,1972.0,2014.0,l_ncca4_gt2,1.0,1,7.0,8.0,1.0,238,34
United States,1972.0,l_ncca4,3,642,2619,339,1972.0,2014.0,l_ncca4_gt3,1.0,1,7.0,9.0,1.0,238,34
United States,1973.0,l_defect2,1,1237,1464,339,1972.0,2014.0,l_defect2_gt1,1.0,2,1.0,1.0,2.0,238,34
United States,1973.0,l_nomore2,1,693,1453,339,1972.0,2014.0,l_nomore2_gt1,1.0,2,2.0,2.0,2.0,238,34
United States,1973.0,l_health2,1,1362,1476,339,1972.0,2014.0,l_health2_gt1,1.0,2,3.0,3.0,2.0,238,34
United States,1973.0,l_poor2,1,778,1456,339,1972.0,2014.0,l_poor2_gt1,1.0,2,4.0,4.0,2.0,238,34
United States,1973.0,l_rape2,1,1212,1451,339,1972.0,2014.0,l_rape2_gt1,1.0,2,5.0,5.0,2.0,238,34
United States,1973.0,l_single2,1,712,1450,339,1972.0,2014.0,l_single2_gt1,1.0,2,6.0,6.0,2.0,238,34
United States,1974.0,l_defect2,1,1226,1440,339,1972.0,2014.0,l_defect2_gt1,1.0,3,1.0,1.0,3.0,238,34
United States,1974.0,l_nomore2,1,662,1411,339,1972.0,2014.0,l_nomore2_gt1,1.0,3,2.0,2.0,3.0,238,34
United States,1974.0,l_health2,1,1342,1452,339,1972.0,2014.0,l_health2_gt1,1.0,3,3.0,3.0,3.0,238,34
United States,1974.0,l_poor2,1,776,1417,339,1972.0,2014.0,l_poor2_gt1,1.0,3,4.0,4.0,3.0,238,34
United States,1974.0,l_rape2,1,1228,1420,339,1972.0,2014.0,l_rape2_gt1,1.0,3,5.0,5.0,3.0,238,34
United States,1974.0,l_single2,1,711,1420,339,1972.0,2014.0,l_single2_gt1,1.0,3,6.0,6.0,3.0,238,34
United States,1975.0,l_defect2,1,1196,1438,339,1972.0,2014.0,l_defect2_gt1,1.0,4,1.0,1.0,4.0,238,34
United States,1975.0,l_nomore2,1,652,1426,339,1972.0,2014.0,l_nomore2_gt1,1.0,4,2.0,2.0,4.0,238,34
United States,1975.0,l_health2,1,1314,1449,339,1972.0,2014.0,l_health2_gt1,1.0,4,3.0,3.0,4.0,238,34
United States,1975.0,l_poor2,1,753,1416,339,1972.0,2014.0,l_poor2_gt1,1.0,4,4.0,4.0,4.0,238,34
United States,1975.0,l_rape2,1,1190,1422,339,1972.0,2014.0,l_rape2_gt1,1.0,4,5.0,5.0,4.0,238,34
United States,1975.0,l_single2,1,682,1414,339,1972.0,2014.0,l_single2_gt1,1.0,4,6.0,6.0,4.0,238,34
United States,1976.0,l_defect2,1,1223,1457,339,1972.0,2014.0,l_defect2_gt1,1.0,5,1.0,1.0,5.0,238,34
United States,1976.0,l_nomore2,1,668,1447,339,1972.0,2014.0,l_nomore2_gt1,1.0,5,2.0,2.0,5.0,238,34
United States,1976.0,l_health2,1,1329,1464,339,1972.0,2014.0,l_health2_gt1,1.0,5,3.0,3.0,5.0,238,34
United States,1976.0,l_poor2,1,761,1434,339,1972.0,2014.0,l_poor2_gt1,1.0,5,4.0,4.0,5.0,238,34
United States,1976.0,l_rape2,1,1205,1440,339,1972.0,2014.0,l_rape2_gt1,1.0,5,5.0,5.0,5.0,238,34
United States,1976.0,l_single2,1,723,1438,339,1972.0,2014.0,l_single2_gt1,1.0,5,6.0,6.0,5.0,238,34
United States,1976.0,l_ncca4,1,1620,1822,339,1972.0,2014.0,l_ncca4_gt1,1.0,5,7.0,7.0,5.0,238,34
United States,1976.0,l_ncca4,2,793,1822,339,1972.0,2014.0,l_ncca4_gt2,1.0,5,7.0,8.0,5.0,238,34
United States,1976.0,l_ncca4,3,492,1822,339,1972.0,2014.0,l_ncca4_gt3,1.0,5,7.0,9.0,5.0,238,34
United States,1977.0,l_defect2,1,1271,1487,339,1972.0,2014.0,l_defect2_gt1,1.0,6,1.0,1.0,6.0,238,34
United States,1977.0,l_nomore2,1,680,1462,339,1972.0,2014.0,l_nomore2_gt1,1.0,6,2.0,2.0,6.0,238,34
United States,1977.0,l_health2,1,1347,1488,339,1972.0,2014.0,l_health2_gt1,1.0,6,3.0,3.0,6.0,238,34
United States,1977.0,l_poor2,1,789,1478,339,1972.0,2014.0,l_poor2_gt1,1.0,6,4.0,4.0,6.0,238,34
United States,1977.0,l_rape2,1,1231,1469,339,1972.0,2014.0,l_rape2_gt1,1.0,6,5.0,5.0,6.0,238,34
United States,1977.0,l_single2,1,726,1459,339,1972.0,2014.0,l_single2_gt1,1.0,6,6.0,6.0,6.0,238,34
United States,1977.0,l_any2,1,558,1479,339,1972.0,2014.0,l_any2_gt1,1.0,6,8.0,10.0,6.0,238,34
United States,1978.0,l_defect2,1,1227,1497,339,1972.0,2014.0,l_defect2_gt1,1.0,7,1.0,1.0,7.0,238,34
United States,1978.0,l_nomore2,1,598,1483,339,1972.0,2014.0,l_nomore2_gt1,1.0,7,2.0,2.0,7.0,238,34
United States,1978.0,l_health2,1,1352,1492,339,1972.0,2014.0,l_health2_gt1,1.0,7,3.0,3.0,7.0,238,34
United States,1978.0,l_poor2,1,696,1469,339,1972.0,2014.0,l_poor2_gt1,1.0,7,4.0,4.0,7.0,238,34
United States,1978.0,l_rape2,1,1232,1481,339,1972.0,2014.0,l_rape2_gt1,1.0,7,5.0,5.0,7.0,238,34
United States,1978.0,l_single2,1,606,1473,339,1972.0,2014.0,l_single2_gt1,1.0,7,6.0,6.0,7.0,238,34
United States,1978.0,l_ncca4,1,1948,2187,339,1972.0,2014.0,l_ncca4_gt1,1.0,7,7.0,7.0,7.0,238,34
United States,1978.0,l_ncca4,2,972,2187,339,1972.0,2014.0,l_ncca4_gt2,1.0,7,7.0,8.0,7.0,238,34
United States,1978.0,l_ncca4,3,604,2187,339,1972.0,2014.0,l_ncca4_gt3,1.0,7,7.0,9.0,7.0,238,34
United States,1978.0,l_any2,1,494,1484,339,1972.0,2014.0,l_any2_gt1,1.0,7,8.0,10.0,7.0,238,34
United States,1980.0,l_defect2,1,1179,1419,339,1972.0,2014.0,l_defect2_gt1,1.0,9,1.0,1.0,9.0,238,34
United States,1980.0,l_nomore2,1,663,1407,339,1972.0,2014.0,l_nomore2_gt1,1.0,9,2.0,2.0,9.0,238,34
United States,1980.0,l_health2,1,1288,1429,339,1972.0,2014.0,l_health2_gt1,1.0,9,3.0,3.0,9.0,238,34
United States,1980.0,l_poor2,1,728,1408,339,1972.0,2014.0,l_poor2_gt1,1.0,9,4.0,4.0,9.0,238,34
United States,1980.0,l_rape2,1,1177,1411,339,1972.0,2014.0,l_rape2_gt1,1.0,9,5.0,5.0,9.0,238,34
United States,1980.0,l_single2,1,680,1404,339,1972.0,2014.0,l_single2_gt1,1.0,9,6.0,6.0,9.0,238,34
United States,1980.0,l_ncca4,1,2598,2909,339,1972.0,2014.0,l_ncca4_gt1,1.0,9,7.0,7.0,9.0,238,34
United States,1980.0,l_ncca4,2,1483,2909,339,1972.0,2014.0,l_ncca4_gt2,1.0,9,7.0,8.0,9.0,238,34
United States,1980.0,l_ncca4,3,944,2909,339,1972.0,2014.0,l_ncca4_gt3,1.0,9,7.0,9.0,9.0,238,34
United States,1980.0,l_any2,1,578,1406,339,1972.0,2014.0,l_any2_gt1,1.0,9,8.0,10.0,9.0,238,34
United States,1982.0,l_defect2,1,1458,1775,339,1972.0,2014.0,l_defect2_gt1,1.0,11,1.0,1.0,11.0,238,34
United States,1982.0,l_nomore2,1,808,1763,339,1972.0,2014.0,l_nomore2_gt1,1.0,11,2.0,2.0,11.0,238,34
United States,1982.0,l_health2,1,1627,1800,339,1972.0,2014.0,l_health2_gt1,1.0,11,3.0,3.0,11.0,238,34
United States,1982.0,l_poor2,1,868,1773,339,1972.0,2014.0,l_poor2_gt1,1.0,11,4.0,4.0,11.0,238,34
United States,1982.0,l_rape2,1,1485,1770,339,1972.0,2014.0,l_rape2_gt1,1.0,11,5.0,5.0,11.0,238,34
United States,1982.0,l_single2,1,803,1764,339,1972.0,2014.0,l_single2_gt1,1.0,11,6.0,6.0,11.0,238,34
United States,1982.0,l_ncca4,1,1179,1359,339,1972.0,2014.0,l_ncca4_gt1,1.0,11,7.0,7.0,11.0,238,34
United States,1982.0,l_ncca4,2,761,1359,339,1972.0,2014.0,l_ncca4_gt2,1.0,11,7.0,8.0,11.0,238,34
United States,1982.0,l_ncca4,3,495,1359,339,1972.0,2014.0,l_ncca4_gt3,1.0,11,7.0,9.0,11.0,238,34
United States,1982.0,l_any2,1,678,1760,339,1972.0,2014.0,l_any2_gt1,1.0,11,8.0,10.0,11.0,238,34
